Recipe Name,Directions
Anna's Chocolate Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). In a large bowl, cream together the butter and sugar until smooth. Beat in the vanilla and eggs one at a time. Combine the flour, baking soda and salt; stir into the sugar mixture. Finally, mix in the chocolate chips. Drop by tablespoonfuls onto ungreased cookie sheets. Bake for 8 to 10 minutes in the preheated oven, or until edges are golden. Remove from baking sheet to cool on wire racks."
Ashley's Chocolate Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Sift together the flour, baking powder, baking soda, and salt; set aside. In a medium bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in the egg and vanilla. Gradually stir in the sifted ingredients, then stir in the chocolate chips. Drop by rounded tablespoonfuls onto ungreased cookie sheets. Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."
Award Winning Soft Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Sift together the flour and baking soda, set aside. In a large bowl, cream together the butter, brown sugar, and white sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour mixture. Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets. Bake for 10 to 12 minutes in the preheated oven. Edges should be golden brown."
Banana Chocolate Chip Cookies,"Preheat oven to 400 degrees F (200 degrees C). Grease cookie sheets. Sift the flour, baking powder, salt, and baking soda together, and set aside. Cream the butter with the sugar until light and fluffy. Beat in the eggs and vanilla. Mix in the mashed bananas. Add the flour mixture, and stir until just combined. Stir in the chocolate chips. Drop by spoonfuls onto prepared cookie sheets. Bake in preheated oven for 12 to 15 minutes."
Banana Apple Chocolate Chunk Cookies,"Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Mash banana, applesauce, and honey together in a bowl; add almond butter, butter, egg and stir until combined. Add coconut flour, oats, chocolate chunks, tapioca flour, baking soda, cinnamon, and salt to banana mixture, stir until dry ingredients are moist and form a dough. Drop rounded tablespoonfuls of dough onto the prepared baking sheet. Bake until lightly brown, about 15 minutes. Let cool to room temperature, about 30 minutes."
Basic Chocolate Chip Cookies,Preheat oven to 350 degrees F (180 degrees C). Lightly beat egg and stir into Basic Cookie Mix. Stir in the butter. Add vanilla and chocolate chips. Mix well. Drop by teaspoonfuls onto greased baking sheet. Bake for 12 to 15 minutes in the preheated oven.
"Best Big, Fat, Chewy Chocolate Chip Cookie","Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper. Sift together the flour, baking soda and salt; set aside In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart. Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely."
Best Chocolate Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). Cream together the butter, white sugar, and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Dissolve baking soda in hot water.  Add to batter along with salt. Stir in flour, chocolate chips, and nuts. Drop by large spoonfuls onto ungreased pans. Bake for about 10 minutes in the preheated oven, or until edges are nicely browned."
Best Ever Chewy Chocolate Chocolate Chunk Cookies,"Preheat the oven to 375 degrees F (190 degrees C). In a medium bowl, cream together the butter, chocolate syrup, brown sugar and white sugar until smooth. Beat in the eggs, one at a time, then stir in the corn syrup and vanilla. Combine the flour, baking soda and salt; stir into the creamed mixture until just blended. Mix in the chocolate chunks by hand. Drop cookies by 1/4 cupfuls onto ungreased cookie sheets. Bake for 12 to 14 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Best Ever Chocolate Chip Cookies I,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl, cream together margarine, white sugar, and brown sugar until smooth. Beat in the eggs and vanilla. In a separate bowl, mix together flour, baking soda, and salt.  Add to egg mixture, and mix well. Stir in chocolate chips. Instead of just dropping them onto the cookie sheet, I roll the cookies into balls   it makes them all look very uniform and nice! Bake in preheated oven for 12 to 15 minutes, or until light brown. Cool on a wire rack."
Best Ever Chocolate Chip Cookies II,"Preheat the oven to 375 degrees F (190 degrees C). Line cookie sheets with parchment paper. In a medium bowl, stir together the melted butter and brown sugar until smooth. Beat in the eggs one at a time. Combine the flour, baking powder and baking soda, gradually stir into the sugar mixture. Fold in the chocolate chips. Drop by rounded spoonfuls onto the prepared cookie sheets. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Best Ever Chocolate Chip Cookies III,"Preheat the oven to 375 degrees F (190 degrees C). Sift together the flour, baking soda and salt; set aside. In a large bowl, cream together the butter and sugar until smooth. Beat in the eggs, one at a time then stir in the vanilla. Blend in the sifted ingredients to form a soft dough. Stir in the chocolate chips, white chocolate chips and walnuts. Drop by heaping teaspoonfuls about 2 inches apart onto ungreased baking sheets. Bake for 8 to 11 minutes in the preheated oven, or until lightly golden. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Beth's Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). In a large bowl, cream together the shortening, butter, white sugar, and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking soda, and salt; stir into the creamed mixture. Stir in the pecans and chocolate chips. Use a measuring tablespoon to round dough into balls. Don't roll the balls, just make them rounded. Place onto ungreased baking sheets. Bake 10 to 12 minutes in the preheated oven, or until centers are set and very lightly browned. Don't overbake. Cool 2 to 3 minutes before removing from baking sheets. Make sure you have lots of ice cold milk!"
Blue Ribbon Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Cream together white sugar, brown sugar and shortening until fluffy. Stir in the vanilla and eggs. Combine the flour, wheat germ, salt and baking soda; mix into the batter. Stir in crispy rice cereal and chocolate chips. Drop by teaspoonfuls on an ungreased cookie sheet, spacing cookies 2 inches apart. Bake for 11 to 13 minutes in the preheated oven, until cookies are light brown at the edges. Cool well before eating as the chocolate can burn your mouth."
Buttermilk Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Mix butter or margarine, sugar and egg together. Stir in baking mix, nuts, and chocolate chips. Drop teaspoonfuls of dough about 2 inches apart on ungreased baking sheet. Bake about 10 minutes, or until lightly browned."
Byron's Ginger Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). Sift together the flour, baking soda and salt into a small bowl; set aside. In a large bowl, cream together the butter, shortening, white sugar and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla and milk. Gradually stir in the sifted ingredients using a wooden spoon. Finally, mix in the chocolate chips and crystallized ginger. Use two spoons to drop cookie dough 2 inches apart onto a cookie sheet. Bake on the middle rack of the preheated oven for 12 to 15 minutes. The cookies should be golden brown on the sides and the top should have lost it's shine. Allow to cool on the baking sheet for a few minutes before removing to a wire rack to cool completely."
Candi's Chocolate Peanut Butter Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Stir together the flour, baking soda, salt and cocoa; set aside. In a large bowl, cream together the butter, cream cheese, white sugar and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla and applesauce. Blend in the dry ingredients to form a dough. Fold in the peanut butter chips by hand. Drop the dough by teaspoons two inches apart on a ungreased cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Cardamom and Espresso Chocolate Chip Cookies,"Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper. Whisk flour, baking powder, baking soda, cardamom, cinnamon, and salt together in a bowl. Cream brown sugar, butter, and white sugar together in a bowl until fluffy. Beat in eggs 1 at a time until thoroughly combined. Mix in instant espresso powder and vanilla extract. Mix flour mixture into the butter mixture until just combined; do not overmix. Fold in chocolate chips. Drop dough by the tablespoon onto the prepared baking sheets about 2 inches apart. Bake in the preheated oven until edges of cookies are set, 10 to 15 minutes. Cool cookies on the pans 2 to 3 minutes before transferring to a wire rack to cool completely."
Chef John's Chocolate Chip Cookies,"Whisk flour, salt, and baking soda together in a bowl. In a separate bowl, cream the butter, white sugar, and brown sugar together until mixture is light and fluffy, 3 to 4 minutes. Add the egg, milk, and vanilla extract. Whisk liquids together in small areas around the bowl, then all together to avoid separation.Pour dry ingredients into the wet ingredients; stir until flour is thoroughly mixed in. Stir in the chocolate chips.Transfer dough to a resealable plastic bag. Refrigerate until dough is firm, at least 2 hours. Preheat oven to 375 degrees F (190 degrees C). Line baking sheet with parchment paper.coop out rounded tablespoons of dough and place on prepared baking sheet, leaving 4 inches of space between cookies (about 8 per sheet). Bake in preheated oven until cookies are golden brown, about 12 minutes. Slide parchment and cookies onto a cooling rack for a few minutes. Remove parchment and finish cooling the cookies on the rack."
Cherry Chocolate Chunk Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease baking sheets. Whisk together the flour, baking soda, and salt; set aside. Beat the unsalted butter, butter flavored shortening, white sugar, and brown sugar with an electric mixer in a large bowl until smooth. Add the eggs one at a time; beat in the vanilla extract and almond extract with the last egg. Mix in the flour mixture until just incorporated. Fold in the cherries, walnuts, pecans, and chocolate chunks, mixing just enough to evenly combine. Drop by rounded spoonfuls onto the prepared cookie sheets. Bake in the preheated oven until browned around the edges, 11 to 13 minutes. Cool on cookie sheet for 2 minutes; remove cookies to a wire rack to cool completely."
Chewy Chocolate Chip Oatmeal Cookies,"Preheat the oven to 325 degrees F (165 degrees C). In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in eggs one at a time, then stir in vanilla. Combine the flour, baking soda, and salt; stir into the creamed mixture until just blended. Mix in the quick oats, walnuts, and chocolate chips. Drop by heaping spoonfuls onto ungreased baking sheets. Bake for 12 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."
Chewy Chocolate Peanut Butter Chip Cookies,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl, mix together butter and sugar. Beat in eggs and vanilla. Combine flour, cocoa, baking soda, and salt; gradually stir into the butter mixture. Mix in peanut butter chips. Drop by rounded teaspoons onto ungreased cookie sheets. Bake 8 to 10 minutes in preheated oven. Cool for 1 minute before placing on wire racks to cool completely."
Chewy Jumbo Chocolate Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). Sift together the all purpose flour, cake flour, baking powder and baking soda; set aside. In a large bowl, cream together the butter, white sugar and brown sugar until smooth. Beat in the eggs and vanilla, until well blended. Gradually stir in the flour mixture. Stir in the chocolate chips by hand using a wooden spoon, stir in walnuts if desired. Drop cookies by rounded tablespoonfuls 2 inches apart onto ungreased cookie sheets. Bake for 10 to 14 minutes in the preheated oven, until the edges are light brown. Let cookies cool on the baking sheet before removing to wire racks to cool completely."
Chewy Peanut Butter Chocolate Chip Cookies,"Preheat oven to 375 degrees F (190 degrees C). In a large bowl, cream together the butter, peanut butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in the corn syrup, water, and vanilla. Combine the flour, baking soda, and salt; stir into the peanut butter mixture. Fold in chocolate chunks. Drop by 1/4 cupfuls 3 inches apart onto ungreased baking sheets. Bake for 12 to 14 minutes in the preheated oven, or until edges are golden. Allow cookies to cool for 1 minute on the cookie sheet before removing to wire racks to cool completely."
Chewy White Chocolate Chip Gingerbread Cookies,"Beat together the butter with 1 cup of sugar in a mixing bowl until the mixture is smooth, and stir in beaten egg and molasses. In another bowl, whisk together the flour, baking soda, ginger, cinnamon, cloves, nutmeg, and salt; stir the flour mixture into the molasses mixture by half cupfuls. Stir in the white chocolate chips. Refrigerate dough for at least 1 hour. Preheat oven to 350 degrees F (175 degrees C). Scoop up a generous spoonful of dough, and roll it into a ball. Roll the ball in sugar, place onto an ungreased baking sheet, and flatten slightly. Sprinkle a little sugar onto the cookie, if desired. Repeat for the rest of the cookies. Bake the cookies in the preheated oven until lightly browned, 10 to 15 minutes. Allow to cool on the baking sheet for about 1 minute before removing to finish cooling on racks."
Chococonut Chip Cookies,"Preheat the oven to 375 degrees F (190 degrees C). In a large bowl, cream together the butter, brown sugar and white sugar until light and fluffy. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking soda and salt; stir into the creamed mixture. Fold in chocolate chips and coconut. Drop by rounded spoonfuls onto cookie sheets. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Chocolate Air Cookies with Chocolate Chips,"Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with baking parchment. Melt the chocolate in the top of a double boiler over simmering water, stirring frequently and scraping down the sides with a rubber spatula to avoid scorching. Let chocolate cool slightly while preparing the egg whites. Beat egg whites in a glass or metal bowl until foamy. Gradually add sugar, continuing to beat until stiff peaks form. Lift your beater or whisk straight up: the egg whites will form sharp peaks. Stir cream of tartar into the egg whites. Scoop some of the egg whites into the cooled melted chocolate and fold until smooth. Fold the chocolate mixture into the remaining egg whites. Stir chocolate chips into the mixture; drop by spoonful onto the prepared baking sheet. Bake until cookies set in their centers, 10 to 15 minutes."
Chocolate Chip and Coconut Lunchbox Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease a large baking sheet. Mix flour, baking powder, and baking soda together in a bowl. Combine coconut, chocolate chips, oats, and sunflower seeds together in a separate bowl.Stir sugar and butter together in a third bowl using a spoon to break up butter and create a paste with sugar. Beat eggs, 1 at a time, into butter mixture using electric mixer on medium speed until light and creamy. Beat coconut mixture into creamed butter mixture until mixture is evenly combined. Mix flour mixture into coconut butter mixture until dough is just combined. Drop small spoonfuls of dough onto the prepared baking sheet. Bake in the preheated oven until cookies are lightly browned, about 10 minutes. Transfer cookies to a wire rack to cool completely."
Chocolate Chip Apricot Cookies,"Preheat oven to 375 degrees F (190 degrees C). Grease a cookie sheet. Mix the flour and baking soda in a bowl. In a separate bowl, beat together the butter, turbinado sugar, and brown sugar until fluffy, then beat in the egg, vanilla, and salt. Stir the flour and baking soda into the butter mixture. Fold in the chocolate chips and apricots. Drop by rounded teaspoonfuls onto the cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely."
Chocolate Chip Banana Cookies,"Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper. Spread walnuts onto a baking sheet. Bake in the preheated oven until walnuts are toasted and fragrant, 5 to 7 minutes. Remove from oven and cool; coarsely chop. Whisk all purpose flour, whole wheat flour, salt, and baking soda together in a bowl. Beat butter, brown sugar, and white sugar together in a bowl using an electric mixer until pale and fluffy; add egg and vanilla extract. Beat until just combined. Beat banana into creamed butter mixture until just combined. Stir flour mixture into creamed butter mixture until dough is just combined; fold in oats, chocolate chips, and walnuts. Drop heaping spoonfuls of dough onto the prepared baking sheets, spacing each mound about 1 1/2 inch apart. Bake on the center rack of the preheated oven for 6 minutes. Rotate pans and bake until edges are browned, 6 to 7 more minutes. Cool cookies on the baking sheets for 5 minutes before transferring to wire racks to cool completely."
Chocolate Chip Cake Mix Cookies,"Preheat oven to 350 degrees F (175 degrees C). Mix together the cake mix, eggs, oil, raisins, oatmeal and chocolate chips. Stir well. Drop by teaspoonful onto a greased cookie sheet (Baking stones yield best results). Bake for about 8 10 minutes. Remove from oven and let cool for 1 minute before removing from cookie sheet. NOTE: For even more chocolate, put a large chocolate kiss in the center of each cookie 1 minute before removing from oven."
Chocolate Chip Chunk Cookies,"Combine flour, baking soda, and salt.  Set aside. In a large bowl , cream the vegetable shortening and the two sugars.  Beat in the egg and vanilla. Gradually blend in the dry ingredients. Fold in the chocolate chips and the nuts.  Cover and chill for 2 to 3 hours. Preheat oven to 350 degrees F (175 degrees C). Drop cookie by teaspoonfuls onto shiny lightly greased cookie sheets. Bake 10 12 minutes and transfer to wire racks to cool. Take out of oven when lightly colored    they will darken after being taken off cookie sheet."
Chocolate Chip Cinnamon Cookies,"Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, beat together the butter, brown sugar, confectioners' sugar, and vanilla until smooth and creamy; then add eggs, and beat well. In a large bowl, mix together flour, baking soda, salt, cinnamon, and pudding mix. Gradually mix the dry into the creamy mixture until well blended. Stir in chocolate chips and nuts, if using. Drop by teaspoonfuls 2 inches apart onto ungreased baking sheets. Bake in a preheated oven for 8 to 10 minutes, until golden brown. Remove from oven; allow cookies to cool momentarily on baking sheets before removing them to wire racks to cool completely."
Chocolate Chip Coffee Cookies,"Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. In a large bowl, cream together the butter, brown sugar and white sugar until smooth. Beat in the eggs one at a time then stir in the coffee liqueur. Combine the flour, baking soda, salt and cinnamon, stir into the creamed mixture. Fold in the chocolate chips. Drop by rounded spoonfuls onto the prepared cookie sheets. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheets for 5 minutes before removing to a wire rack to cool completely."
Chocolate Chip Cookies (Gluten Free),"Preheat oven to 375 degrees F ( 190 degrees C). Prepare a greased baking sheet In a medium bowl, cream butter and sugar. Gradually add replacer eggs and vanilla while mixing. Sift together gluten  free flour mix, baking soda, baking powder, and salt. Stir into the butter mixture until blended. Finally, stir in the chocolate chips. Using a  teaspoon, drop cookies 2 inches apart on prepared baking sheet. Bake in preheated oven for 6 to 8 minutes or until light brown. Let cookies cool on baking sheet for 2 minutes before removing to wire racks."
Chocolate Chip Cookies for Special Diets,"Preheat oven to 375 degrees F (190 degrees C). In a medium bowl, cream together the butter and sugar substitute. Mix in water, vanilla, and egg. Sift together the flour, baking soda, and salt; stir into the creamed mixture. Mix in the chocolate chips and pecans. Drop cookies by heaping teaspoonfuls onto a cookie sheet. Bake in the preheated oven for 10 to 12 minutes. Remove from cookie sheets to cool on wire racks. These cookies freeze well."
Chocolate Chip Cookies from In The Raw Sweeteners,"Preheat oven to 375 degrees F. In a large bowl, beat together the melted butter, egg, vanilla extract and Sugar In The Raw(R) (or Sugar In The Raw(R)/Stevia In The Raw(R) combo). Meanwhile, mix dry ingredients (flour, baking soda, salt) in a separate bowl. Add dry ingredients to wet ingredients and stir well to combine. Slowly add nuts and chocolate chips until well combined.  Drop the dough in spoonfuls onto ungreased baking sheets. Bake for 10 minutes."
Chocolate Chip Cookies from Karo,"Preheat oven to 350 degrees F. Beat butter and sugar with electric mixer in large bowl until fluffy. Beat in corn syrup, egg and vanilla. Gradually beat in flour, baking soda and salt until combined. Stir in chocolate chips. Drop dough by heaping tablespoonfuls onto lightly greased baking sheets. Bake for 9 to 11 minutes or until lightly browned. Cool 1 to 2 minutes on pan; remove from pan to wire rack."
Chocolate Chip Cookies I,"Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, cream together shortening, brown sugar and white sugar. Mix in the egg and vanilla. Combine the flour, baking soda and salt; stir into the batter until moistened. Mix in the walnuts and chocolate chips. Drop by heaping spoonfuls onto ungreased cookie sheets. Bake for 8 minutes in the preheated oven, until the edges are light brown."
Chocolate Chip Cookies II,"Preheat the oven to 350 degrees F (175 degrees C). In a large bowl, mix together the sugar, brown sugar, and eggs until creamy. Melt the butter or margarine in a saucepan over low heat and mix into the sugar along with the vanilla. Combine the flour and baking soda; stir into the batter until it becomes dough. Mix in chocolate chips. Drop by teaspoonfuls about 2 inches apart on ungreased cookie sheets. Bake in the preheated oven for 5 to 7 minutes, until browned at the edges."
Chocolate Chip Cookies III,"Preheat oven to 350 degrees F (175 degrees C). In a blender mix together butter or margarine, brown sugar, and white sugar. Remove from blender and add eggs, vanilla and milk. In a separate bowl, mix together flour, baking powder, baking soda, salt, and chocolate chips. Add moist mixture to dry mixture and mix well. Drop by teaspoon onto lightly greased baking sheets and bake for 9 minutes."
Chocolate Chip Cookies IV,"Preheat the oven to 325 degrees F (165 degrees C). grease cookie sheets or line with parchment paper. In a large bowl, cream together the butter, white sugar and brown sugar. Beat in the eggs until batter is smooth and well blended. Combine the flour, baking soda and salt; mix into the batter alternately with the water. Stir in chocolate chips by hand using a wooden spoon. Drop cookies by heaping spoonfuls onto the prepared cookie sheets. Bake for 15 to 20 minutes in the preheated oven, until the edges are golden brown. Remove cookies from cookie sheets to cool on wire racks."
Chocolate Chip Cookies Lite,"Preheat oven to 375 degrees F (190 degrees C). Sift together flour, baking soda, and salt. Stir together white sugar, brown sugar, applesauce, vanilla extract, and egg white until smooth. Combine the flour, baking soda and salt; stir into the batter until moistened. Mix in chocolate chips last. Drop dough by rounded teaspoonfuls onto an ungreased cookie sheet. Bake in preheated oven until golden brown, 8 to 10 minutes. "
Chocolate Chip Cookies V,"Preheat the oven to 375 degrees F (190 degrees C). Stir together the flour, baking soda, salt and instant pudding powder; set aside. In a medium bowl, cream together the butter, white sugar and brown sugar until smooth. Blend in the eggs and vanilla. Gradually mix in the dry ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Scoop cookies using an ice cream scoop or by heaping tablespoons. Place cookies at least 2 inches apart onto ungreased cookie sheets. Bake for 8 to 10 minutes in the preheated oven, until lightly golden. Cool on baking sheets for a few minutes before removing to wire racks to cool completely."
Chocolate Chip Cookies VI,"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets. In a large bowl, cream together the butter, sugar. Beat in egg and vanilla. Stir in the zucchini. Combine the flour, baking powder, salt and cinnamon; stir into the zucchini mixture. Mix in the chocolate chips and walnuts. Drop by heaping spoonfuls onto the prepared cookie sheets. Bake for 12 to 15 minutes in the preheated oven, until edges are light brown. Remove from baking sheets to cool on wire racks"
Chocolate Chip Cookies VII,"Preheat oven to 350 degrees F (175 degrees C). In a large bowl, cream together the shortening, margarine, white sugar and brown sugar until smooth. Mix in the vanilla and eggs until well blended. Combine the flour, baking soda and baking powder; stir into the creamed mixture until just blended. Mix in the chocolate chips. Drop by heaping teaspoonfuls onto ungreased baking sheets. Cookies should be at least 2 inches apart. Bake for 8 to 10 minutes in the preheated oven, until edges are golden. Let cookies cool for an hour or so before eating. You can try them fresh from the oven, but they will crumble and fall apart.          "
Chocolate Chip Cookies with Avocado,"Preheat oven to 375 degrees F (190 degrees C). Spray baking sheets with cooking spray. Combine flour, baking soda, and salt in a bowl. Beat white sugar, brown sugar, butter, avocado, and vanilla extract together in a bowl using an electric mixer until creamy; beat in egg until smooth. Stir flour mixture, a few tablespoons at a time, into creamed mixture until dough is just mixed; stir in chocolate chips. Drop dough by the spoonful onto the baking sheets. Bake in the preheated oven until edges of cookies are lightly browned, 8 to 10 minutes. Cool cookies on baking sheet for 2 minutes before transferring to a wire rack to cool completely."
